velocidad_bala,distancia,altura_bala,accion
-7.0,963.0,610.0,0
-7.0,956.0,610.0,0
-7.0,949.0,610.0,0
-7.0,942.0,610.0,0
-7.0,935.0,610.0,0
-7.0,928.0,610.0,0
-7.0,921.0,610.0,0
-7.0,914.0,610.0,0
-7.0,907.0,610.0,0
-7.0,900.0,610.0,0
-7.0,893.0,610.0,0
-7.0,886.0,610.0,0
-7.0,879.0,610.0,0
-7.0,872.0,610.0,0
-7.0,865.0,610.0,0
-7.0,858.0,610.0,0
-7.0,851.0,610.0,0
-7.0,844.0,610.0,0
-7.0,837.0,610.0,0
-7.0,830.0,610.0,0
-7.0,823.0,610.0,1
-7.0,816.0,610.0,1
-7.0,809.0,610.0,1
-7.0,802.0,610.0,1
-7.0,795.0,610.0,1
-7.0,788.0,610.0,1
-7.0,781.0,610.0,1
-7.0,774.0,610.0,1
-7.0,767.0,610.0,1
-7.0,760.0,610.0,1
-7.0,753.0,610.0,1
-7.0,746.0,610.0,1
-7.0,739.0,610.0,1
-7.0,732.0,610.0,1
-7.0,725.0,610.0,1
-7.0,718.0,610.0,1
-7.0,711.0,610.0,1
-7.0,704.0,610.0,1
-7.0,697.0,610.0,1
-7.0,690.0,610.0,1
-7.0,683.0,610.0,1
-7.0,676.0,610.0,1
-7.0,669.0,610.0,1
-7.0,662.0,610.0,1
-7.0,655.0,610.0,1
-7.0,648.0,610.0,1
-7.0,641.0,610.0,1
-7.0,634.0,610.0,1
-7.0,627.0,610.0,1
-7.0,620.0,610.0,1
-7.0,613.0,610.0,1
-7.0,606.0,610.0,1
-7.0,599.0,610.0,0
-7.0,592.0,610.0,0
-7.0,585.0,610.0,0
-7.0,578.0,610.0,0
-7.0,571.0,610.0,0
-7.0,564.0,610.0,0
-7.0,557.0,610.0,0
-7.0,550.0,610.0,0
-7.0,543.0,610.0,0
-7.0,536.0,610.0,0
-7.0,529.0,610.0,0
-7.0,522.0,610.0,0
-7.0,515.0,610.0,0
-7.0,508.0,610.0,0
-7.0,501.0,610.0,0
-7.0,494.0,610.0,0
-7.0,487.0,610.0,0
-7.0,480.0,610.0,0
-7.0,473.0,610.0,0
-7.0,466.0,610.0,0
-7.0,459.0,610.0,0
-7.0,452.0,610.0,0
-7.0,445.0,610.0,0
-7.0,438.0,610.0,0
-7.0,431.0,610.0,0
-7.0,424.0,610.0,0
-7.0,417.0,610.0,0
-7.0,410.0,610.0,0
-7.0,403.0,610.0,0
-7.0,396.0,610.0,0
-7.0,389.0,610.0,0
-7.0,382.0,610.0,0
-7.0,375.0,610.0,0
-7.0,368.0,610.0,0
-7.0,361.0,610.0,0
-7.0,354.0,610.0,0
-7.0,347.0,610.0,0
-7.0,340.0,610.0,0
-7.0,333.0,610.0,0
-7.0,326.0,610.0,0
-7.0,319.0,610.0,0
-7.0,312.0,610.0,0
-7.0,305.0,610.0,0
-7.0,298.0,610.0,0
-7.0,291.0,610.0,0
-7.0,284.0,610.0,0
-7.0,277.0,610.0,0
-7.0,270.0,610.0,0
-7.0,263.0,610.0,0
